Experiment,Number of Tasks,Task 2 Response Probability,Inter-task SOA is Predictable,Inter-task SOA,Distractor SOA,Task 1 CSI,Task 2 CSI,Switch Rate,Trial Transition Type,Stimulus-Stimulus Congruency,Stimulus-Response Congruency,Response Set Overlap,Task 1 Stimulus-Response Mapping,Task 2 Stimulus-Response Mapping,Task 1 Cue Type,Task 2 Cue Type,RSI is Predictable,RSI,Task 1 Difficulty,Task 2 Difficulty,Task 1 Type,Task 2 Type,Intra-Trial Task Relationship,Notes,Super_Experiment_Mapping_Notes
McCann & Johnston 1992 Exp2 - Letters + Incongruent Distractor Distractor T2 (SOA 300),2,1,Yes,300,0,0,0,0%,Pure,N/A,Incongruent,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Letters + Incongruent Distractor Distractor T2 (SOA 800),2,1,Yes,800,0,0,0,0%,Pure,N/A,Incongruent,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
Navon & Miller 1987 Exp1 - Dual-Task (Neutral Nontarget),2,1,Yes,0,N/A,0,0,0%,Pure,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Boy Name Search,City Name Search,Different,,"{""block_id"": ""Navon & Miller 1987 Exp1 Dual-Task""}"
Navon & Miller 1987 Exp1 - Dual-Task (O-C Target),2,1,Yes,0,N/A,0,0,0%,Pure,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Boy Name Search,City Name Search,Different,,"{""block_id"": ""Navon & Miller 1987 Exp1 Dual-Task""}"
Navon & Miller 1987 Exp1 - Dual-Task (O-C Associate),2,1,Yes,0,N/A,0,0,0%,Pure,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Boy Name Search,City Name Search,Different,,"{""block_id"": ""Navon & Miller 1987 Exp1 Dual-Task""}"
Navon & Miller 1987 Exp1 - Single-Task (Neutral Nontarget),1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Boy Name Search,N/A,N/A,,"{""block_id"": ""Navon & Miller 1987 Exp1 Single-Task""}"
Navon & Miller 1987 Exp1 - Single-Task (O-C Target),1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Boy Name Search,N/A,N/A,,"{""block_id"": ""Navon & Miller 1987 Exp1 Single-Task""}"
De Jong (2000) Exp2 Short Block Pure,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,No,750,3,N/A,Color Naming / Letter Naming,N/A,N/A,,"{""viewer_config"":{""ITI_distribution"":""choice"",""ITI_values"":[150,600,1500]}}"
De Jong (2000) Exp2 Short Block Switch Congruent,1,0,N/A,N/A,0,0,0,33%,Switch,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,750,3,3,Color Naming,Letter Naming,Different,,"{""block_id"": ""De Jong (2000) Exp2 Short Block"", ""viewer_config"":{""sequence_type"":""AABB"",""ITI_distribution"":""choice"",""ITI_values"":[150,600,1500]}}"
De Jong (2000) Exp2 Short Block Switch Incongruent,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,750,3,3,Color Naming,Letter Naming,Different,,"{""block_id"": ""De Jong (2000) Exp2 Short Block"", ""viewer_config"":{""sequence_type"":""AABB"",""ITI_distribution"":""choice"",""ITI_values"":[150,600,1500]}}"
De Jong (2000) Exp2 Short Block Repeat Congruent,1,0,N/A,N/A,0,0,0,33%,Repeat,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,750,3,3,Color Naming,Letter Naming,Different,,"{""block_id"": ""De Jong (2000) Exp2 Short Block"", ""viewer_config"":{""sequence_type"":""AABB"",""ITI_distribution"":""choice"",""ITI_values"":[150,600,1500]}}"
De Jong (2000) Exp2 Short Block Repeat Incongruent,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,750,3,3,Color Naming,Letter Naming,Different,,"{""block_id"": ""De Jong (2000) Exp2 Short Block"", ""viewer_config"":{""sequence_type"":""AABB"",""ITI_distribution"":""choice"",""ITI_values"":[150,600,1500]}}"
De Jong (2000) Exp2 Long Block Pure,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,No,750,3,N/A,Color Naming / Letter Naming,N/A,N/A,The length of a block is not a dimension in our space. The coding here is identical to that of the short blocks.,"{""viewer_config"":{""ITI_distribution"":""choice"",""ITI_values"":[150,600,1500]}}"
De Jong (2000) Exp2 Long Block Switch Congruent,1,0,N/A,N/A,0,0,0,33%,Switch,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,750,3,3,Color Naming,Letter Naming,Different,,"{""block_id"": ""De Jong (2000) Exp2 Long Block"", ""viewer_config"":{""sequence_type"":""AABB"",""ITI_distribution"":""choice"",""ITI_values"":[150,600,1500]}}"
De Jong (2000) Exp2 Long Block Switch Incongruent,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,750,3,3,Color Naming,Letter Naming,Different,,"{""block_id"": ""De Jong (2000) Exp2 Long Block"", ""viewer_config"":{""sequence_type"":""AABB"",""ITI_distribution"":""choice"",""ITI_values"":[150,600,1500]}}"
De Jong (2000) Exp2 Long Block Repeat Congruent,1,0,N/A,N/A,0,0,0,33%,Repeat,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,750,3,3,Color Naming,Letter Naming,Different,,"{""block_id"": ""De Jong (2000) Exp2 Long Block"", ""viewer_config"":{""sequence_type"":""AABB"",""ITI_distribution"":""choice"",""ITI_values"":[150,600,1500]}}"
De Jong (2000) Exp2 Long Block Repeat Incongruent,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,750,3,3,Color Naming,Letter Naming,Different,,"{""block_id"": ""De Jong (2000) Exp2 Long Block"", ""viewer_config"":{""sequence_type"":""AABB"",""ITI_distribution"":""choice"",""ITI_values"":[150,600,1500]}}"
Egner et al. (2007) Stroop Congruent / Simon Congruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,Congruent,N/A,Arbitrary,N/A,None/Implicit,N/A,No,4000,3,N/A,Color Discrimination,N/A,N/A,,"{""viewer_config"":{""ITI_distribution"":""uniform"",""ITI_range"":[3000,5000]}}"
Egner et al. (2007) Stroop Congruent / Simon Incongruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,Incongruent,N/A,Arbitrary,N/A,None/Implicit,N/A,No,4000,3,N/A,Color Discrimination,N/A,N/A,,"{""viewer_config"":{""ITI_distribution"":""uniform"",""ITI_range"":[3000,5000]}}"
Egner et al. (2007) Stroop Incongruent / Simon Congruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,Congruent,N/A,Arbitrary,N/A,None/Implicit,N/A,No,4000,3,N/A,Color Discrimination,N/A,N/A,,"{""viewer_config"":{""ITI_distribution"":""uniform"",""ITI_range"":[3000,5000]}}"
Egner et al. (2007) Stroop Incongruent / Simon Incongruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,Incongruent,N/A,Arbitrary,N/A,None/Implicit,N/A,No,4000,3,N/A,Color Discrimination,N/A,N/A,,"{""viewer_config"":{""ITI_distribution"":""uniform"",""ITI_range"":[3000,5000]}}"
Hirsch et al. (2018) Pure Blocks,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,No,350,2,N/A,Letter Classification (Vowel/Consonant) / Number Classification (Even/Odd),N/A,N/A,,"{""convert_overrides"": {""t1_stim_duration"": 5000, ""t1_cue_go_duration"": 5000 }, ""viewer_config"": {""ITI_distribution"": ""choice"", ""ITI_values"": [100, 600]}}"
"Hirsch et al. (2018) Task Switching, Switch Trials",1,0,N/A,N/A,N/A,0,N/A,50%,Switch,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,350,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Hirsch et al. (2018) Task Switching"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t1_cue_go_duration"": 5000 }, ""viewer_config"": {""ITI_distribution"": ""choice"", ""ITI_values"": [100, 600]}}"
"Hirsch et al. (2018) Task Switching, Repeat Trials",1,0,N/A,N/A,N/A,0,N/A,50%,Repeat,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,350,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Hirsch et al. (2018) Task Switching"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t1_cue_go_duration"": 5000}}"
Hirsch et al. (2018) Dual-Task Switch Trials,2,1,No,350,N/A,0,0,75%,N/A,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,Switch in this case means that task 1 and task 2 of the same trial are different.,"{""block_id"": ""Hirsch et al. (2018) PRP"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t1_cue_go_duration"": 5000}, ""viewer_config"": {""SOA_distribution"": ""choice"", ""SOA_values"": [100, 600]}}"
"Hirsch et al. (2018) Dual-Task, Repeat Trials",2,1,No,350,N/A,0,0,75%,N/A,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,Repeat in this case means that task 1 and task 2 were identical.,"{""block_id"": ""Hirsch et al. (2018) PRP"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t1_cue_go_duration"": 5000}}"
"Fischer & Schubert (2008) Short SOA, Congruent",2,1,No,85,-85,0,0,0%,Pure,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,3,Tone Discrimination,Valence Judgment,Different,"I was on the fence about treating the fixation cross as a task cue - ultimately I decided not to. This means that CSI isn't 700, it's 0.","{""block_id"": ""Fischer & Schubert (2008) PRP"", ""viewer_config"": {""SOA_distribution"": ""choice"", ""SOA_values"": [85, 800]}}"
"Fischer & Schubert (2008) Short SOA, Incongruent",2,1,No,85,-85,0,0,0%,Pure,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,3,Tone Discrimination,Valence Judgment,Different,,"{""block_id"": ""Fischer & Schubert (2008) PRP""}"
"Fischer & Schubert (2008) Long SOA, Congruent",2,1,No,800,-85,0,0,0%,Pure,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,3,Tone Discrimination,Valence Judgment,Different,,"{""block_id"": ""Fischer & Schubert (2008) PRP""}"
"Fischer & Schubert (2008) Long SOA, Incongruent",2,1,No,800,-85,0,0,0%,Pure,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,3,Tone Discrimination,Valence Judgment,Different,,"{""block_id"": ""Fischer & Schubert (2008) PRP""}"
"Fischer & Schubert (2008) Single-Task, Congruent",1,0,N/A,N/A,-85,0,N/A,0%,Pure,Congruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,300,3,N/A,Tone Discrimination/Valency Judgment,N/A,N/A,,"{""block_id"": ""Fischer & Schubert (2008) Single-Task""}"
"Fischer & Schubert (2008) Single-Task, incongruent",1,0,N/A,N/A,-85,0,N/A,0%,Pure,Incongruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,300,3,N/A,Tone Discrimination/Valency Judgment,N/A,N/A,,"{""block_id"": ""Fischer & Schubert (2008) Single-Task""}"
Miller & Alderton 2006 Exp 1,2,1,Yes,0,N/A,0,0,0%,Pure,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Color Discrimination,Letter Discrimination,Different,,
Miller & Alderton 2006 Exp2 (SOA 50ms),2,1,No,50,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Color Discrimination,Letter Discrimination,Different,,"{""block_id"": ""Miller & Alderton 2006 Exp 2"", ""viewer_config"": {""SOA_distribution"": ""choice"", ""SOA_values"": [50, 150, 400]}}"
Miller & Alderton 2006 Exp2 (SOA 150ms),2,1,No,150,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Color Discrimination,Letter Discrimination,Different,,"{""block_id"": ""Miller & Alderton 2006 Exp 2"", ""viewer_config"": {""SOA_distribution"": ""choice"", ""SOA_values"": [50, 150, 400]}}"
Miller & Alderton 2006 Exp2 (SOA 40ms),2,1,No,400,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Color Discrimination,Letter Discrimination,Different,,"{""block_id"": ""Miller & Alderton 2006 Exp 2"", ""viewer_config"": {""SOA_distribution"": ""choice"", ""SOA_values"": [50, 150, 400]}}"
Miller & Alderton 2006 Exp3a (SOA 50),1,0,No,N/A,50,0,0,100%,Switch,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Color Discrimination,Letter Discrimination,Different,,"{""block_id"": ""Miller & Alderton 2006 Exp 3a""}"
Miller & Alderton 2006 Exp3a (SOA 400),1,0,No,N/A,400,0,0,100%,Switch,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Color Discrimination,Letter Discrimination,Different,,"{""block_id"": ""Miller & Alderton 2006 Exp 3a""}"
Miller & Alderton 2006 Exp3b Switch (SOA 50),1,0,No,N/A,50,0,0,50%,Switch,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Color Discrimination,Letter Discrimination,Different,,"{""block_id"": ""Miller & Alderton 2006 Exp 3b""}"
Miller & Alderton 2006 Exp3b Repeat (SOA 50),1,0,No,N/A,50,0,0,50%,Repeat,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Color Discrimination,Letter Discrimination,Different,,"{""block_id"": ""Miller & Alderton 2006 Exp 3b""}"
Miller & Alderton 2006 Exp3b Switch (SOA 400),1,0,No,N/A,400,0,0,50%,Switch,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Color Discrimination,Letter Discrimination,Different,,"{""block_id"": ""Miller & Alderton 2006 Exp 3b""}"
Miller & Alderton 2006 Exp3b Repeat (SOA 400),1,0,No,N/A,400,0,0,50%,Repeat,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Color Discrimination,Letter Discrimination,Different,,"{""block_id"": ""Miller & Alderton 2006 Exp 3b""}"
Lien et al. (2003) Experiment 1 50ms SOA Congruent Same Task,2,1,Yes,50,N/A,0,0,75%,N/A,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 1 50ms SOA""}"
Lien et al. (2003) Experiment 1 50ms SOA Congruent Different Task,2,1,Yes,50,N/A,0,0,75%,N/A,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 1 50ms SOA""}"
Lien et al. (2003) Experiment 1 50ms SOA Incongruent Same Task,2,1,Yes,50,N/A,0,0,75%,N/A,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 1 50ms SOA""}"
Lien et al. (2003) Experiment 1 50ms SOA Incongruent Different Task,2,1,Yes,50,N/A,0,0,75%,N/A,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 1 50ms SOA""}"
Lien et al. (2003) Experiment 1 800ms SOA Congruent Same Task,2,1,Yes,800,N/A,0,0,75%,N/A,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 1 800ms SOA""}"
Lien et al. (2003) Experiment 1 800ms SOA Congruent Different Task,2,1,Yes,800,N/A,0,0,75%,N/A,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 1 800ms SOA""}"
Lien et al. (2003) Experiment 1 800ms SOA Incongruent Same Task,2,1,Yes,800,N/A,0,0,75%,N/A,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 1 800ms SOA""}"
Lien et al. (2003) Experiment 1 800ms SOA Incongruent Different Task,2,1,Yes,800,N/A,0,0,75%,N/A,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 1 800ms SOA""}"
Lien et al. (2003) Experiment 2 Switch Block 50ms SOA Congruent,2,1,Yes,50,N/A,0,0,75%,N/A,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 2 Switch Block 50ms SOA""}"
Lien et al. (2003) Experiment 2 Switch Block 50ms SOA Incongruent,2,1,Yes,50,N/A,0,0,75%,N/A,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 2 Switch Block 50ms SOA""}"
Lien et al. (2003) Experiment 2 Repeat Block 50ms SOA Congruent,2,1,Yes,50,N/A,0,0,75%,N/A,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 2 Repeat Block 50ms SOA""}"
Lien et al. (2003) Experiment 2 Repeat Block 50ms SOA Incongruent,2,1,Yes,50,N/A,0,0,75%,N/A,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 2 Repeat Block 50ms SOA""}"
Lien et al. (2003) Experiment 2 Switch Block 80ms SOA Congruent,2,1,Yes,800,N/A,0,0,75%,N/A,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 2 Switch Block 50ms SOA""}"
Lien et al. (2003) Experiment 2 Switch Block 80ms SOA Incongruent,2,1,Yes,800,N/A,0,0,75%,N/A,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 2 Switch Block 50ms SOA""}"
Lien et al. (2003) Experiment 2 Repeat Block 800ms SOA Congruent,2,1,Yes,800,N/A,0,0,75%,N/A,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 2 Repeat Block 50ms SOA""}"
Lien et al. (2003) Experiment 2 Repeat Block 800ms SOA Incongruent,2,1,Yes,800,N/A,0,0,75%,N/A,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 2 Repeat Block 50ms SOA""}"
Lien et al. (2003) Experiment 3 Same Task 50ms SOA Congruent,2,1,Yes,50,N/A,0,0,0%,Pure,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 3 Same Task 50ms SOA""}"
Lien et al. (2003) Experiment 3 Same Task 50ms SOA Incongruent,2,1,Yes,50,N/A,0,0,0%,Pure,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 3 Same Task 50ms SOA""}"
Lien et al. (2003) Experiment 3 Different Task 50ms SOA Congruent,2,1,Yes,50,N/A,0,0,0%,Pure,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 3 Same Task 50ms SOA""}"
Lien et al. (2003) Experiment 3 Different Task 50ms SOA Incongruent,2,1,Yes,50,N/A,0,0,0%,Pure,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 3 Same Task 50ms SOA""}"
Lien et al. (2003) Experiment 3 Same Task 800ms SOA Congruent,2,1,Yes,800,N/A,0,0,0%,Pure,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 3 Same Task 50ms SOA""}"
Lien et al. (2003) Experiment 3 Same Task 800ms SOA Incongruent,2,1,Yes,800,N/A,0,0,0%,Pure,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification/Number Classification,Letter Classification/Number Classification,Same,,"{""block_id"": ""Lien et al. (2003) Experiment 3 Same Task 50ms SOA""}"
Lien et al. (2003) Experiment 3 Different Task 800ms SOA Congruent,2,1,Yes,800,N/A,0,0,0%,Pure,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 3 Same Task 50ms SOA""}"
Lien et al. (2003) Experiment 3 Different Task 800ms SOA Incongruent,2,1,Yes,800,N/A,0,0,0%,Pure,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,2400,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Lien et al. (2003) Experiment 3 Same Task 50ms SOA""}"
Hirsch et al. (2017) Experiment 1 Repeat 50ms SOA,2,1,No,50,N/A,500,0,67%,Repeat,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,None/Implicit,Yes,1000,2,2,Visual Categorization,Pitch Discrimination,Different,,"{""block_id"": ""Hirsch et al. (2017) Experiment 1 50ms SOA"", ""convert_overrides"": {""t1_stim_duration"": 100, ""t2_stim_duration"": 100}}"
Hirsch et al. (2017) Experiment 1 Switch 50ms SOA,2,1,No,50,N/A,500,0,67%,Switch,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,None/Implicit,Yes,1000,2,2,Visual Categorization,Pitch Discrimination,Different,,"{""block_id"": ""Hirsch et al. (2017) Experiment 1 50ms SOA"", ""convert_overrides"": {""t1_stim_duration"": 100, ""t2_stim_duration"": 100}}"
Hirsch et al. (2017) Experiment 1 Repeat 800ms SOA,2,1,No,800,N/A,500,0,67%,Repeat,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,None/Implicit,Yes,1000,2,2,Visual Categorization,Pitch Discrimination,Different,,"{""block_id"": ""Hirsch et al. (2017) Experiment 1 800ms SOA"", ""convert_overrides"": {""t1_stim_duration"": 100, ""t2_stim_duration"": 100}}"
Hirsch et al. (2017) Experiment 1 Switch 800ms SOA,2,1,No,800,N/A,500,0,67%,Switch,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,None/Implicit,Yes,1000,2,2,Visual Categorization,Pitch Discrimination,Different,,"{""block_id"": ""Hirsch et al. (2017) Experiment 1 800ms SOA"", ""convert_overrides"": {""t1_stim_duration"": 100, ""t2_stim_duration"": 100}}"
Hirsch et al. (2017) Experiment 2 Repeat 50ms SOA,2,1,No,50,N/A,500,0,67%,Repeat,N/A,N/A,Identical,Arbitrary,Arbitrary,Arbitrary,None/Implicit,Yes,1000,2,2,Visual Categorization,Pitch Discrimination,Different,,"{""block_id"": ""Hirsch et al. (2017) Experiment 2 50ms SOA"", ""convert_overrides"": {""t1_stim_duration"": 100, ""t2_stim_duration"": 100}}"
Hirsch et al. (2017) Experiment 2 Switch 50ms SOA,2,1,No,50,N/A,500,0,67%,Switch,N/A,N/A,Identical,Arbitrary,Arbitrary,Arbitrary,None/Implicit,Yes,1000,2,2,Visual Categorization,Pitch Discrimination,Different,,"{""block_id"": ""Hirsch et al. (2017) Experiment 2 50ms SOA"", ""convert_overrides"": {""t1_stim_duration"": 100, ""t2_stim_duration"": 100}}"
